YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2015,Mahindra,Mahindra XUV500 W6,40663,Diesel,1st owner,Manual,6.52,14503,Hyderabad
2022,Nissan,Nissan MAGNITE XV MT,33161,Petrol,1st owner,Manual,6.26,12238,Hyderabad
2013,Maruti,Maruti Swift Dzire VXI,33355,Petrol,1st owner,Manual,3.6,9480,Hyderabad
2020,Maruti,Maruti Dzire ZXI PLUS AMT,56042,Petrol,2nd owner,Manual,5.98,11691,Hyderabad
2021,Volkswagen,Volkswagen TAIGUN HIGHLINE 1.0 TSI AT,49409,Petrol,1st owner,Automatic,11.5,21889,Hyderabad
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,19288,Petrol,1st owner,Manual,5.11,9990,Hyderabad
2018,Renault,Renault Kwid RXT 1.0 AMT (O),38847,Petrol,1st owner,Manual,3.48,6803,Hyderabad
2016,Maruti,Maruti Ciaz ZXI+ AT,90756,Petrol,1st owner,Automatic,5.17,10107,Hyderabad
2017,Skoda,Skoda Rapid STYLE 1.6 MPI,58664,Petrol,1st owner,Manual,5.49,10733,Hyderabad
2020,Hyundai,Hyundai AURA SX PLUS 1.2 AMT CRDI,58488,Diesel,2nd owner,Manual,6.7,13106,Hyderabad
2021,Renault,Renault TRIBER RXZ AMT,35788,Petrol,1st owner,Manual,6.44,12590,Hyderabad
2019,Hyundai,Hyundai Verna 1.6 VTVT SX O,92609,Petrol,2nd owner,Automatic,8.08,15380,Hyderabad
2014,Maruti,Maruti Swift VXI,29973,Petrol,1st owner,Manual,3.69,8208,Hyderabad
2019,Hyundai,Hyundai NEW SANTRO ERA EXECUTIVE,56077,Petrol,1st owner,Manual,3.73,7291,Hyderabad
2016,Honda,Honda Jazz 1.2L I-VTEC S AT,97925,Petrol,1st owner,Automatic,3.74,7312,Hyderabad
2021,Nissan,Nissan MAGNITE XV PREMIUM,47127,Petrol,1st owner,Manual,6.29,12293,Hyderabad
2015,Maruti,Maruti Celerio VXI CNG,53514,CNG,1st owner,Manual,3.56,9377,Hyderabad
2014,Maruti,Maruti Wagon R 1.0 LXI CNG,99831,CNG,2nd owner,Manual,2.74,9101,Hyderabad
2013,Maruti,Maruti Ertiga ZXI,41154,Petrol,2nd owner,Manual,4.95,13027,Hyderabad
2018,Hyundai,Hyundai NEW SANTRO MAGNA CNG,59884,CNG,1st owner,Manual,4.06,7937,Hyderabad
2019,Hyundai,Hyundai VENUE SX 1.0 TURBO,35132,Petrol,1st owner,Manual,7.83,15310,Hyderabad
2017,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,43358,Petrol,1st owner,Manual,7.12,13920,Hyderabad
2017,Maruti,Maruti Baleno DELTA PETROL 1.2,30009,Petrol,1st owner,Manual,4.88,9540,Hyderabad
2021,Hyundai,Hyundai VENUE S 1.0 TURBO IMT,50011,Petrol,1st owner,Manual,7.66,14983,Hyderabad
2016,Hyundai,Hyundai Creta BASE 1.6 PETROL,54149,Petrol,1st owner,Manual,6.07,11867,Hyderabad
2018,Toyota,Toyota YARIS VX MT,30509,Petrol,2nd owner,Manual,6.97,13626,Hyderabad
2020,Honda,Honda City 1.5L I-VTEC ZX,27603,Petrol,1st owner,Manual,9.27,17645,Hyderabad
2017,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI (O),91079,Diesel,1st owner,Manual,5.99,11711,Hyderabad
2021,Tata,Tata TIGOR XZA PLUS PETROL,39046,Petrol,1st owner,Manual,6.39,12484,Hyderabad
2019,MG,MG HECTOR SHARP 1.5 DCT PETROL,26167,Petrol,2nd owner,Automatic,12.99,24725,Hyderabad
2020,KIA,KIA SELTOS GTX PLUS DCT 1.4 PETROL,35115,Petrol,1st owner,Automatic,13.67,26020,Hyderabad
2019,Honda,Honda Amaze 1.5L I-DTEC V CVT,55909,Diesel,1st owner,Automatic,7.01,13713,Hyderabad
2013,Hyundai,Hyundai Grand i10 ERA 1.2 KAPPA VTVT,42124,Petrol,2nd owner,Automatic,2.75,7242,Hyderabad
2020,Skoda,Skoda Rapid STYLE TSI,33693,Petrol,1st owner,Manual,8.4,15989,Hyderabad
2017,Mahindra,Mahindra XUV500 W10 AT,36172,Diesel,2nd owner,Automatic,10.52,20024,Hyderabad
2021,Maruti,Maruti New Wagon-R ZXI 1.2 AMT,34224,Petrol,1st owner,Manual,5.73,11202,Hyderabad
2014,Honda,Honda Amaze 1.2L I-VTEC S,52953,Petrol,1st owner,Manual,3.34,7430,Hyderabad
2015,Hyundai,Hyundai Creta SX 1.6 DIESEL,62018,Diesel,2nd owner,Manual,7.47,16626,Hyderabad
2018,Skoda,Skoda Rapid STYLE 1.6 MPI,59650,Petrol,1st owner,Manual,6.47,12645,Hyderabad
2021,Tata,Tata Harrier XZA PLUS 2.0L DARK EDITION,31764,Diesel,1st owner,Manual,17.35,33024,Hyderabad
2016,Honda,Honda City 1.5L I-VTEC VX CVT,75272,Petrol,1st owner,Automatic,6.08,11887,Hyderabad
2021,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,19753,Petrol,1st owner,Automatic,9.53,18139,Hyderabad
2020,Maruti,Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,23829,Petrol,1st owner,Automatic,8.32,15833,Hyderabad
2019,Maruti,Maruti IGNIS ALPHA 1.2,22343,Petrol,2nd owner,Manual,5.08,9935,Hyderabad
2019,Hyundai,Hyundai NEW SANTRO SPORTZ CNG,73743,CNG,1st owner,Manual,4.4,8602,Hyderabad
2022,Tata,Tata ALTROZ XZA PLUS,18364,Petrol,1st owner,Manual,8.25,15703,Hyderabad
2019,Volkswagen,Volkswagen Ameo HIGHLINE PLUS 1.5L AT 16 ALLOY,60683,Diesel,2nd owner,Automatic,6.36,12436,Hyderabad
2019,Tata,Tata NEXON XZA PLUS PETROL,19072,Petrol,1st owner,Manual,8.0,15634,Hyderabad
2016,Volkswagen,Volkswagen Polo HIGHLINE1.5L,75461,Diesel,3rd owner,Manual,4.67,9130,Hyderabad
2017,Honda,Honda City 1.5L I-VTEC V MT,22437,Petrol,2nd owner,Manual,6.65,13010,Hyderabad
2016,Honda,Honda City 1.5L I-VTEC VX CVT,73295,Petrol,1st owner,Automatic,6.39,12493,Hyderabad
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,50900,Petrol,1st owner,Manual,4.65,9091,Hyderabad
2021,Maruti,Maruti Ciaz DELTA AT 1.5 SHVS PETROL,29803,Petrol,1st owner,Automatic,8.48,16135,Hyderabad
2022,Tata,Tata ALTROZ XZA,10448,Petrol,1st owner,Manual,7.5,14663,Hyderabad
2017,Mahindra,Mahindra XUV500 W10 AT,84821,Diesel,1st owner,Automatic,10.32,19643,Hyderabad
2022,Mahindra,Mahindra XUV300 W6 1.2 PETROL AMT,13192,Petrol,2nd owner,Manual,8.2,15603,Hyderabad
2015,Maruti,Maruti Wagon R 1.0 VXI,55946,Petrol,2nd owner,Manual,2.94,5748,Hyderabad
2021,Maruti,Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,33773,Petrol,1st owner,Automatic,8.88,16893,Hyderabad
2019,Hyundai,Hyundai NEW SANTRO SPORTZ CNG,109255,CNG,1st owner,Manual,4.4,9788,Hyderabad
2018,Tata,Tata NEXON XZA PLUS PETROL,34124,Petrol,1st owner,Manual,7.02,13724,Hyderabad
2018,Honda,Honda WR-V 1.5L I-DTEC VX MT,101055,Diesel,1st owner,Manual,6.4,14236,Hyderabad
2021,Maruti,Maruti Ciaz DELTA AT 1.5 SHVS PETROL,17099,Petrol,1st owner,Automatic,8.56,16294,Hyderabad
2019,Renault,Renault TRIBER RXZ,56210,Petrol,1st owner,Manual,6.01,11759,Hyderabad
