YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2022,Tata,Tata PUNCH ACCOMPLISHED MT,21955,Petrol,1st owner,Manual,6.64,12973,New Delhi
2019,Maruti,Maruti Eeco 5 STR WITH A/C+HTR,43731,Petrol,1st owner,Manual,3.91,7639,New Delhi
2020,Mahindra,Mahindra KUV 100 NXT K2+ P 6 STR,19376,Petrol,1st owner,Manual,4.33,8465,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,75537,Petrol,1st owner,Automatic,3.61,9507,New Delhi
2022,Maruti,Maruti Swift ZXI PLUS,24626,Petrol,1st owner,Manual,7.57,14792,New Delhi
2022,Nissan,Nissan MAGNITE XE,36341,Petrol,1st owner,Manual,5.4,10557,New Delhi
2019,Tata,Tata Harrier XZ 2.0L DARK EDITION,56690,Diesel,2nd owner,Manual,10.26,22308,New Delhi
2021,Nissan,Nissan MAGNITE XE,30639,Petrol,1st owner,Manual,4.97,9722,New Delhi
2020,Volkswagen,Volkswagen Polo TRENDLINE 1.0L,33419,Petrol,1st owner,Manual,5.2,10166,New Delhi
2017,Maruti,Maruti Wagon R 1.0 VXI+,60446,Petrol,1st owner,Manual,3.49,6823,New Delhi
2016,Renault,Renault Kwid RXT 1.0 (O),20709,Petrol,1st owner,Manual,2.53,4946,New Delhi
2018,Datsun,Datsun Redi Go A,84695,Petrol,1st owner,Manual,1.75,3421,New Delhi
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,61839,Petrol,2nd owner,Manual,3.97,7761,New Delhi
2023,Maruti,Maruti Alto K10 VXI,21607,Petrol,1st owner,Manual,4.65,9091,New Delhi
2019,MG,MG HECTOR SHARP 2.0 DIESEL,33306,Diesel,1st owner,Manual,12.0,26091,New Delhi
2019,Hyundai,Hyundai Creta SX AT 1.6 DIESEL,67168,Diesel,1st owner,Automatic,10.37,22547,New Delhi
2018,Maruti,Maruti Dzire LXI,59381,Petrol,1st owner,Manual,4.7,9189,New Delhi
2020,Maruti,Maruti Baleno ZETA PETROL 1.2,36323,Petrol,2nd owner,Manual,6.13,11985,New Delhi
2018,Hyundai,Hyundai Tucson 2WD MT PETROL,43368,Petrol,1st owner,Manual,12.01,22850,New Delhi
2012,Maruti,Maruti Wagon R 1.0 VXI,75057,Petrol,2nd owner,Manual,1.9,6311,New Delhi
2021,Honda,Honda City 1.5L I-VTE V CVT,34459,Petrol,1st owner,Automatic,9.56,18206,New Delhi
2019,Hyundai,Hyundai Creta S 1.4 DIESEL,51977,Diesel,2nd owner,Manual,7.47,16617,New Delhi
2018,Honda,Honda Amaze 1.2L I-VTEC S,27327,Petrol,1st owner,Manual,5.05,9873,New Delhi
2021,Renault,Renault Kiger RXZ TURBO MT,46377,Petrol,2nd owner,Manual,6.41,12534,New Delhi
2019,KIA,KIA SELTOS HTK PLUS 1.5,90594,Petrol,1st owner,Manual,8.86,16869,New Delhi
2019,MG,MG HECTOR SMART 1.5 DCT PETROL,14172,Petrol,1st owner,Automatic,12.3,23412,New Delhi
2020,Hyundai,Hyundai Creta SX 1.5 PETROL,51961,Petrol,1st owner,Manual,11.62,22118,New Delhi
2020,Tata,Tata ALTROZ XZ PETROL,30608,Petrol,2nd owner,Manual,5.89,11515,New Delhi
2022,KIA,KIA SELTOS HTK PLUS 1.5 IMT,51566,Petrol,1st owner,Manual,10.87,20695,New Delhi
2022,KIA,KIA SONET HTK PLUS 1.0 IMT,4763,Petrol,1st owner,Manual,9.1,17315,New Delhi
2019,Volkswagen,Volkswagen Polo COMFORTLINE 1.0L MPI,68763,Petrol,1st owner,Manual,5.23,10225,New Delhi
2022,Maruti,Maruti S Cross SIGMA 1.5,15983,Petrol,1st owner,Manual,8.35,15893,New Delhi
2021,Maruti,Maruti Alto LXI,16001,Petrol,1st owner,Manual,3.52,6882,New Delhi
2022,Renault,Renault TRIBER RXT,13196,Petrol,1st owner,Manual,6.3,12317,New Delhi
2017,Honda,Honda City 1.5L I-VTEC SV,103049,Petrol,1st owner,Manual,6.02,13398,New Delhi
2022,Nissan,Nissan MAGNITE XV DUAL TONE,20512,Petrol,1st owner,Manual,6.66,13020,New Delhi
2021,Toyota,Toyota URBAN CRUISER PREMIUM GRADE MT,42520,Petrol,1st owner,Manual,8.35,15893,New Delhi
2019,Renault,Renault Kwid RXT 1.0 AMT (O),13568,Petrol,1st owner,Manual,3.69,7214,New Delhi
2022,Maruti,Maruti Ciaz ZETA AT 1.5 SHVS PETROL,21566,Petrol,1st owner,Automatic,9.43,17949,New Delhi
2019,KIA,KIA SELTOS HTX 1.5 PETROL,85336,Petrol,1st owner,Manual,9.96,18958,New Delhi
2015,Maruti,Maruti Swift Dzire LXI (O),36067,Petrol,1st owner,Manual,3.7,7234,New Delhi
2016,Maruti,Maruti Ciaz VXI,60548,Petrol,1st owner,Manual,4.63,9048,New Delhi
2019,Ford,Ford Ecosport TITANIUM 1.5L DIESEL,49417,Diesel,1st owner,Manual,6.48,14414,New Delhi
2019,Maruti,Maruti Baleno ZETA CVT PETROL 1.2,15895,Petrol,1st owner,Automatic,7.17,14017,New Delhi
2019,Mahindra,Mahindra XUV500 W5,46055,Diesel,1st owner,Manual,9.5,20660,New Delhi
2021,KIA,KIA SONET HTK PLUS 1.0 DCT,27310,Petrol,1st owner,Automatic,8.95,17036,New Delhi
2021,Maruti,Maruti Alto LXI,8945,Petrol,1st owner,Manual,3.42,6686,New Delhi
2020,KIA,KIA SONET HTK PLUS 1.5,68507,Diesel,1st owner,Manual,7.95,15541,New Delhi
2021,Tata,Tata NEXON XZ PETROL,8119,Petrol,1st owner,Manual,8.24,15678,New Delhi
2019,MG,MG HECTOR SMART 1.5 DCT PETROL,8849,Petrol,1st owner,Automatic,12.5,23793,New Delhi
2020,Hyundai,Hyundai Creta S 1.5 PETROL,80554,Petrol,2nd owner,Manual,9.09,17302,New Delhi
2019,KIA,KIA SELTOS GTX PLUS AT 1.5 DIESEL,51955,Diesel,1st owner,Automatic,12.25,26634,New Delhi
2018,Maruti,Maruti Dzire VXI,65739,Petrol,1st owner,Manual,4.83,9443,New Delhi
2022,Maruti,Maruti Swift VXI,35246,Petrol,1st owner,Manual,6.13,11984,New Delhi
2020,Hyundai,Hyundai Creta SX 1.5 PETROL,61464,Petrol,1st owner,Manual,11.01,20957,New Delhi
2019,KIA,KIA SELTOS HTX 1.5 PETROL,32251,Petrol,1st owner,Manual,10.28,19571,New Delhi
2022,Maruti,Maruti Baleno ALPHA 1.2 AGS,27052,Petrol,1st owner,Manual,7.97,15585,New Delhi
2022,KIA,KIA SONET HTK PLUS 1.0 IMT,22078,Petrol,1st owner,Manual,8.91,16959,New Delhi
2019,Jeep,Jeep Compass LONGITUDE (O) 2.0 DIESEL,87927,Diesel,1st owner,Manual,9.95,21625,New Delhi
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,69534,Petrol,1st owner,Automatic,10.12,19262,New Delhi
2022,Maruti,Maruti XL6 ALPHA PLUS AT DUAL TONE,6777,Petrol,1st owner,Automatic,11.77,22403,New Delhi
2019,Maruti,Maruti Baleno ZETA PETROL 1.2,59602,Petrol,2nd owner,Manual,5.47,10694,New Delhi
2022,Maruti,Maruti Ciaz ZETA 1.5 SHVS MT PETROL,35483,Petrol,1st owner,Manual,7.81,15269,New Delhi
2021,Renault,Renault Duster RXZ 1.3 TURBO PETROL MT,50678,Petrol,1st owner,Manual,8.92,16986,New Delhi
2015,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,102963,Petrol,3rd owner,Manual,5.47,12168,New Delhi
2021,Nissan,Nissan MAGNITE XL,47039,Petrol,1st owner,Manual,5.15,10068,New Delhi
2020,Tata,Tata Tiago XZ PLUS PETROL,53413,Petrol,1st owner,Manual,5.02,9814,New Delhi
2013,Renault,Renault Duster RXL PETROL,77978,Petrol,3rd owner,Manual,2.97,7821,New Delhi
2020,Hyundai,Hyundai AURA SX+ 1.0 TURBO GDI MT,63211,Petrol,1st owner,Manual,6.54,12780,New Delhi
2019,Mahindra,Mahindra XUV500 W5,56279,Diesel,1st owner,Manual,9.28,20178,New Delhi
2020,Maruti,Maruti Baleno ALPHA CVT PETROL 1.2,15673,Petrol,1st owner,Automatic,7.32,14303,New Delhi
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,84938,CNG,2nd owner,Manual,6.81,15148,New Delhi
2018,Volkswagen,Volkswagen Polo COMFORTLINE 1.0L MPI,96717,Petrol,2nd owner,Manual,4.77,9329,New Delhi
2020,KIA,KIA SONET GTX PLUS 1.0 IMT,37438,Petrol,2nd owner,Manual,8.38,15951,New Delhi
2019,KIA,KIA SELTOS GTX PLUS DCT 1.4 PETROL,49280,Petrol,1st owner,Automatic,12.71,24192,New Delhi
2017,Maruti,Maruti Wagon R 1.0 LXI CNG,81370,CNG,1st owner,Manual,3.31,6471,New Delhi
2021,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,18198,Petrol,1st owner,Automatic,9.82,18691,New Delhi
2019,Hyundai,Hyundai VENUE SX 1.0 TURBO,17919,Petrol,1st owner,Manual,8.1,15418,New Delhi
2022,Tata,Tata NEXON XM SUNROOF PETROL,21897,Petrol,1st owner,Manual,7.76,15171,New Delhi
2019,Honda,Honda Jazz 1.2L I-VTEC V,54689,Petrol,1st owner,Manual,5.32,10399,New Delhi
2020,Tata,Tata ALTROZ XZ PETROL,38781,Petrol,1st owner,Manual,6.07,11875,New Delhi
2021,Maruti,Maruti IGNIS ALPHA 1.2 AMT,38768,Petrol,1st owner,Manual,6.45,12610,New Delhi
2022,KIA,KIA SONET HTX 1.0 IMT,29811,Petrol,1st owner,Manual,10.03,19095,New Delhi
2018,Volkswagen,Volkswagen Vento HIGHLINE PLUS 1.2 AT 16 ALLOY,106608,Petrol,1st owner,Automatic,6.8,15126,New Delhi
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,39430,Petrol,1st owner,Manual,8.26,15722,New Delhi
2022,Mahindra,Mahindra Thar LX P 4WD AT CONVERTIBLE,29244,Petrol,1st owner,Automatic,13.18,25091,New Delhi
2019,Datsun,Datsun Go Plus T(O),30862,Petrol,1st owner,Manual,4.11,8043,New Delhi
2019,Maruti,Maruti Baleno DELTA CVT PETROL 1.2,36124,Petrol,1st owner,Automatic,5.49,10739,New Delhi
2023,Honda,Honda Amaze 1.2L I-VTEC VX CVT,13273,Petrol,1st owner,Automatic,8.8,16758,New Delhi
2022,Tata,Tata Harrier XZA PLUS 2.0L,27543,Diesel,1st owner,Manual,17.08,32510,New Delhi
2019,Maruti,Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,66198,Petrol,1st owner,Manual,6.36,12441,New Delhi
2019,Tata,Tata NEXON XZA PLUS PETROL,61470,Petrol,1st owner,Manual,7.06,13802,New Delhi
2015,Honda,Honda Amaze 1.2L I-VTEC S,45157,Petrol,1st owner,Manual,3.23,6315,New Delhi
2022,Tata,Tata NEXON XZA PLUS PETROL,13124,Petrol,1st owner,Manual,9.35,17797,New Delhi
2017,Maruti,Maruti Ciaz ALPHA AT 1.4 PETROL,90303,CNG,2nd owner,Automatic,5.96,11652,New Delhi
2022,Nissan,Nissan MAGNITE XV PREMIUM,28922,Petrol,1st owner,Manual,6.92,13529,New Delhi
