YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,70948,Petrol,2nd owner,Automatic,3.63,9559,Hyderabad
2013,Maruti,Maruti Wagon R 1.0 VXI,20948,Petrol,1st owner,Manual,2.6,6851,New Delhi
2013,Honda,Honda City 1.5L I-VTEC S MT,36448,Petrol,1st owner,Manual,3.89,10244,Hyderabad
2013,Maruti,Maruti Swift Dzire LXI,36578,Petrol,1st owner,Manual,3.08,8111,New Delhi
2013,Skoda,Skoda Rapid AMBITION 1.6 MPI MT PLUS,60753,Petrol,1st owner,Manual,2.58,6794,Hyderabad
2013,Honda,Honda Brio S MT,83926,Petrol,1st owner,Manual,2.25,5918,New Delhi
2013,Maruti,Maruti Wagon R 1.0 VXI,10169,Petrol,1st owner,Manual,2.7,7110,Hyderabad
2013,Hyundai,Hyundai i20 MAGNA 1.2,31439,Petrol,2nd owner,Manual,3.04,8005,Hyderabad
2013,Honda,Honda City 1.5L I-VTEC S MT,36448,Petrol,1st owner,Manual,3.89,10244,Mumbai
2013,Maruti,Maruti Ertiga VXI,63016,Petrol,1st owner,Manual,4.95,13035,Mumbai
2013,Maruti,Maruti Ertiga VXI CNG,93025,CNG,1st owner,Manual,5.53,26032,Mumbai
2013,Maruti,Maruti Swift Dzire VXI,36884,Petrol,1st owner,Manual,3.19,8400,Mumbai
2013,Maruti,Maruti Ertiga ZDI,35446,Diesel,1st owner,Manual,6.67,22154,Mumbai
2013,Honda,Honda City 1.5L I-VTEC V AT SUNROOF,114163,Petrol,2nd owner,Automatic,3.93,10354,Mumbai
2013,Honda,Honda Amaze 1.2L I-VTEC S,47742,Petrol,1st owner,Manual,2.78,7321,Mumbai
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,28229,Petrol,1st owner,Automatic,3.97,10455,Mumbai
2013,Maruti,Maruti Wagon R 1.0 VXI,10169,Petrol,1st owner,Manual,2.7,7110,Mumbai
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,53254,Petrol,1st owner,Manual,3.01,7930,Mumbai
2013,Hyundai,Hyundai i20 MAGNA 1.2,31439,Petrol,2nd owner,Manual,3.04,8005,Mumbai
2013,Maruti,Maruti Swift VXI,53590,Petrol,1st owner,Manual,3.42,9006,Mumbai
2013,Hyundai,Hyundai Santro Xing GLS,59939,Petrol,1st owner,Manual,1.79,4714,New Delhi
2013,Hyundai,Hyundai i10 ERA 1.1,44757,Petrol,2nd owner,Manual,2.09,5496,New Delhi
2013,Renault,Renault Duster RXL PETROL,38579,Petrol,1st owner,Manual,3.74,9849,Mumbai
2013,Maruti,Maruti Alto K10 LXI,19828,Petrol,1st owner,Manual,2.06,5425,New Delhi
2013,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,52006,Petrol,1st owner,Automatic,3.07,8084,New Delhi
2013,Hyundai,Hyundai i10 MAGNA 1.1,7287,Petrol,1st owner,Manual,2.56,6741,Mumbai
2013,Toyota,Toyota Etios Liva G,74269,Petrol,1st owner,Manual,2.77,7294,Mumbai
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,70948,Petrol,2nd owner,Automatic,3.63,9559,Mumbai
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,23393,Petrol,2nd owner,Manual,2.9,7637,Mumbai
2013,Maruti,Maruti Wagon R 1.0 LXI,75871,Petrol,1st owner,Manual,2.6,6847,Mumbai
2013,Skoda,Skoda Rapid AMBITION 1.6 MPI MT PLUS,60753,Petrol,1st owner,Manual,2.58,6794,Mumbai
2013,Maruti,Maruti Swift VXI,53590,Petrol,1st owner,Manual,3.42,9006,Hyderabad
2013,Renault,Renault Duster RXL PETROL,38579,Petrol,1st owner,Manual,3.74,9849,Hyderabad
2013,Honda,Honda Brio S MT,50638,Petrol,1st owner,Manual,2.37,6241,New Delhi
2013,Maruti,Maruti Swift Dzire VXI,33355,Petrol,1st owner,Manual,3.6,9480,Mumbai
2013,Hyundai,Hyundai i10 MAGNA 1.1,7287,Petrol,1st owner,Manual,2.56,6741,Hyderabad
