YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,28495,Petrol,2nd owner,Automatic,11.2,21318,Banglore
2014,Mahindra,Mahindra XUV500 W6,119125,Diesel,3rd owner,Manual,6.7,17644,Banglore
2019,Hyundai,Hyundai VENUE SX (O) 1.5 CRDI,52061,Diesel,2nd owner,Manual,9.3,17702,Banglore
2020,Maruti,Maruti S PRESSO VXI+,36650,Petrol,1st owner,Manual,4.17,8152,Banglore
2022,Tata,Tata PUNCH CREATIVE AMT,45037,Petrol,1st owner,Manual,8.01,15246,Banglore
2019,Datsun,Datsun Redi Go T(O) 1.0,15881,Petrol,2nd owner,Manual,3.05,5968,Banglore
2022,Tata,Tata Harrier XZA PLUS 2.0L DUAL TONE,32613,Diesel,2nd owner,Manual,17.08,32503,Banglore
2016,Maruti,Maruti Ciaz ZXI AT,87285,Petrol,2nd owner,Automatic,5.87,11476,Banglore
2022,KIA,KIA CARENS LUXURY 1.4 PETROL 7 STR,11437,Petrol,1st owner,Manual,15.8,30074,Banglore
2022,KIA,KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR,10776,Petrol,1st owner,Manual,16.2,30835,Banglore
2015,Maruti,Maruti Celerio VXI AMT,33709,Petrol,1st owner,Manual,3.93,7683,Banglore
2021,KIA,KIA SONET GTX PLUS 1.0 DCT DUAL TONE,32031,Petrol,1st owner,Automatic,11.86,22574,Banglore
2019,Renault,Renault Kwid RXT 1.0 AMT (O),23998,Petrol,1st owner,Manual,4.82,9428,Banglore
2022,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,35746,Petrol,1st owner,Manual,11.1,21128,Banglore
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,44058,Petrol,2nd owner,Automatic,8.65,16458,Banglore
2015,Maruti,Maruti Celerio ZXI AMT,70600,Petrol,1st owner,Manual,3.77,7370,Banglore
2022,Tata,Tata NEXON XZA PLUS (HS) PETROL,26350,Petrol,1st owner,Manual,11.06,21052,Banglore
2021,Renault,Renault Kwid RXL 1.0 AMT,10068,Petrol,1st owner,Manual,4.6,8993,Banglore
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,42069,Petrol,1st owner,Automatic,8.62,16407,Banglore
2021,Renault,Renault TRIBER RXL MT,14940,Petrol,1st owner,Manual,5.77,11280,Banglore
2022,Hyundai,Hyundai NEW I20 ASTA (O) 1.2 AT,13384,Petrol,1st owner,Automatic,10.0,19042,Banglore
2022,Mahindra,Mahindra XUV300 W6 1.2 PETROL,45733,Petrol,1st owner,Manual,8.67,16503,Banglore
2014,Renault,Renault Pulse RX L DIESEL,83897,Diesel,1st owner,Manual,2.92,7689,Banglore
2021,Tata,Tata ALTROZ XE PETROL,37071,Petrol,2nd owner,Manual,5.71,11163,Banglore
2021,Hyundai,Hyundai Verna SX (O) 1.5 VTVT IVT,27044,Petrol,2nd owner,Automatic,12.14,23107,Banglore
2016,Maruti,Maruti Baleno ZETA CVT PETROL 1.2,83637,Petrol,3rd owner,Automatic,5.02,9816,Banglore
2019,Volkswagen,Volkswagen Polo COMFORTLINE 1.0L MPI,45905,Petrol,2nd owner,Manual,5.99,11711,Banglore
2017,Maruti,Maruti Baleno ALPHA PETROL 1.2,67549,Petrol,1st owner,Manual,6.45,12615,Banglore
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,65498,Petrol,3rd owner,Automatic,5.03,9834,Banglore
2012,Hyundai,Hyundai i20 SPORTZ 1.2,52538,Petrol,2nd owner,Manual,4.01,13315,Banglore
2018,Mahindra,Mahindra KUV 100 NXT K8 P 6 STR,35107,Petrol,1st owner,Manual,5.15,10061,Banglore
2015,Mahindra,Mahindra XUV500 W10,75492,Diesel,2nd owner,Manual,8.65,18807,Banglore
2023,Renault,Renault Kwid CLIMBER AMT 1.0,6372,Petrol,1st owner,Manual,5.8,11339,Banglore
2022,Hyundai,Hyundai NEW I20 SPORTZ 1.2 MT DUAL TONE,39380,Petrol,1st owner,Manual,7.41,14487,Banglore
2015,Maruti,Maruti Ciaz ZXI+,25381,Petrol,1st owner,Manual,6.08,11894,Banglore
2021,Mahindra,Mahindra Thar LX P 4WD AT CONVERTIBLE,52339,Petrol,1st owner,Automatic,13.37,25449,Banglore
2017,Toyota,Toyota Innova Crysta TOURING SPORT DIESEL MT,40409,Diesel,2nd owner,Manual,17.64,33576,Banglore
2022,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,20634,Petrol,1st owner,Automatic,16.87,32110,Banglore
2017,Honda,Honda WR-V 1.2L I-VTEC VX MT,46533,Petrol,2nd owner,Manual,6.45,12611,Banglore
2022,Hyundai,Hyundai VENUE S 1.2,9802,Petrol,1st owner,Manual,9.05,17227,Banglore
2022,Hyundai,Hyundai Creta SX (O) AT 1.5 DIESEL,27509,Diesel,1st owner,Automatic,17.05,32453,Banglore
2019,Honda,Honda Amaze 1.5L I-DTEC V CVT,54550,Diesel,2nd owner,Automatic,6.75,13189,Banglore
2022,Maruti,Maruti Swift ZXI PLUS AMT DUAL TONE,31707,Petrol,1st owner,Manual,8.24,15684,Banglore
2021,Nissan,Nissan MAGNITE XV DUAL TONE,9840,Petrol,1st owner,Manual,7.07,13828,Banglore
2013,Nissan,Nissan Micra XV CVT,63505,Petrol,2nd owner,Automatic,3.09,8137,Banglore
2016,Honda,Honda Amaze 1.2L I-VTEC S,47097,Petrol,1st owner,Manual,4.73,9243,Banglore
2020,Tata,Tata NEXON XZ PLUS PETROL,67172,Petrol,1st owner,Manual,7.5,14663,Banglore
2021,Mahindra,Mahindra Thar LX P 4WD AT CONVERTIBLE,54460,Petrol,1st owner,Automatic,13.37,25445,Banglore
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,109224,Petrol,1st owner,Manual,5.14,11434,Banglore
2022,Volkswagen,Volkswagen TAIGUN TOPLINE 1.0 TSI MT,16066,Petrol,1st owner,Manual,13.96,26581,Banglore
2021,Toyota,Toyota Glanza G CVT,28418,Petrol,2nd owner,Automatic,7.1,13881,Banglore
2016,Maruti,Maruti Swift VXI,70069,Petrol,1st owner,Manual,5.36,10470,Banglore
2014,Honda,Honda Brio VX AT,93107,Petrol,1st owner,Automatic,3.56,7917,Banglore
2019,Maruti,Maruti Celerio X ZXI (O) AMT,27393,Petrol,2nd owner,Manual,4.79,9370,Banglore
2019,Toyota,Toyota YARIS G MT,42403,Petrol,1st owner,Manual,7.94,15519,Banglore
2016,Maruti,Maruti Baleno DELTA CVT PETROL 1.2,62524,Petrol,2nd owner,Automatic,5.45,10655,Banglore
2023,Maruti,Maruti Celerio ZXI AMT,17052,Petrol,1st owner,Manual,6.24,12199,Banglore
2021,Hyundai,Hyundai Creta SX 1.5 PETROL,24743,Petrol,1st owner,Manual,13.2,25125,Banglore
2018,Datsun,Datsun Redi Go S 1.0 AMT,54716,Petrol,3rd owner,Manual,2.84,5552,Banglore
2020,Maruti,Maruti Vitara Brezza ZXI PLUS AT SHVS,50421,Petrol,1st owner,Automatic,9.12,17359,Banglore
2020,Hyundai,Hyundai Verna SX (O) 1.5 CRDI,61488,Diesel,1st owner,Manual,12.23,23279,Banglore
2018,Jeep,Jeep Compass SPORT 1.4 PETROL,26635,Petrol,1st owner,Manual,11.68,22224,Banglore
2011,Hyundai,Hyundai i20 SPORTZ (O) 1.2,65841,Petrol,2nd owner,Manual,2.97,13981,Banglore
2021,Hyundai,Hyundai ALCAZAR PRESTIGE (O) 6STR 2.0 AT,12775,Petrol,1st owner,Automatic,16.39,31190,Banglore
2018,Honda,Honda City 1.5L I-VTEC VX,85766,Petrol,2nd owner,Manual,7.24,14152,Banglore
2016,Maruti,Maruti Ciaz ZXI+,75940,Petrol,1st owner,Manual,5.77,11286,Banglore
2017,Honda,Honda WR-V 1.5L I-DTEC VX MT,32067,Diesel,2nd owner,Manual,7.38,14428,Banglore
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,82689,Petrol,2nd owner,Manual,5.72,11183,Banglore
2014,Hyundai,Hyundai i20 SPORTZ 1.2,57848,Petrol,1st owner,Manual,4.62,10277,Banglore
2020,KIA,KIA SONET GTX PLUS 1.5D AT,52562,Diesel,1st owner,Automatic,11.47,21832,Banglore
2019,Renault,Renault Kwid CLIMBER 1.0,46862,Petrol,1st owner,Manual,3.56,6960,Banglore
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,68811,Petrol,2nd owner,Manual,9.05,17226,Banglore
2017,Maruti,Maruti Dzire VDI AMT,77473,Diesel,2nd owner,Manual,6.6,12903,Banglore
